month,fallback_rate,new_free_users,free_users,new_paid_users,paid_users,revenue,llm_cost,storage_cost,backend_cost,labeling_cost,payment_fees,cogs,gross_profit,gross_margin,fixed_costs,cac_spend,net_income,cumulative_net
1,0.5,1500.0,2359.5,60.5,60.5,588.6851666666668,16.3471,0.0917927978515625,48.4,19.61652,17.660555000000002,102.11596779785157,486.5691988688152,0.8265355174888023,39500.0,2904.0,-41917.43080113119,-41917.43080113119
2,0.4498116526544125,1590.0,3666.7215,94.01850000000002,150.2835,1462.3085495000003,24.686195804783907,0.2458781516357422,76.3401,29.623434965740685,43.86925648500001,174.76486540716036,1287.5436840928398,0.8804870111257184,27500.0,4512.888000000001,-30725.34431590716,-72642.77511703834
3,0.40625191112272324,1685.4000000000003,4932.3141855,126.46959450000003,266.23324950000006,2590.5382620515006,31.875767057763355,0.46617238042790526,103.97094870000001,38.25092046931603,77.71614786154501,252.2799564690523,2338.2583055824484,0.9026148502939824,27500.0,6070.540536000001,-31232.282230417553,-103875.05734745589
4,0.36844530495491934,1786.5240000000001,6166.1467243935,158.10632626650002,405.7032483015,3947.6278403896963,38.08496641300657,0.7563864362145587,131.4369994539,45.701959695607876,118.42883521169088,334.40914721041986,3613.2186931792767,0.9152885832375202,27500.0,7589.103660792001,-31475.88496761273,-135350.94231506862
5,0.33563199110897746,1893.7154400000004,7377.40616578097,189.16426066105052,566.4682815814455,5511.925202547992,43.4781633603903,1.120088472865556,158.8774889472483,52.17379603246835,165.35775607643976,421.00729288941227,5090.917909658579,0.9236188305503866,27500.0,9079.884511730424,-31488.966602071843,-166839.90891714045
6,0.30715248250740373,2007.3383664000005,8574.688237945531,219.86380097296234,746.6793028437066,7265.438509770214,48.20937601713083,1.560760387998406,186.42735081578473,57.851251220556996,217.9631552931064,512.0118937345774,6753.4266160356365,0.9295277369637017,27500.0,10553.462446702193,-31300.03583066656,-198139.944747807
7,0.28243439356353384,2127.7786683840004,9766.079551111541,250.4122961823472,944.8240478269943,9193.452926705932,52.41931949092865,2.081849128299712,214.21807197877072,62.903183389114375,275.8035878011779,607.4260117882914,8586.02691491764,0.9339284144237266,27500.0,12019.790216752666,-30933.763301835028,-229073.708049642
8,0.260980936287122,2255.445388487041,10959.232611121917,281.00596438774147,1159.692328866846,11284.192923984036,56.23421895505627,2.686813467496333,242.37849879977526,67.48106274606752,338.5257877195211,707.3063816879164,10576.886542296119,0.9373188329504214,27500.0,13488.286290611592,-30411.399748315474,-259485.1077979575
9,0.2423609357621635,2390.7721117962633,12161.434461177716,311.8316528507107,1390.3455186968774,13528.525345426851,59.765777559008306,3.3791668938902646,271.03559959749185,71.71893307080995,405.85576036280554,811.7552374840059,12716.770107942846,0.9399967685496181,27500.0,14967.919336834115,-29751.14922889127,-289236.25702684873
10,0.22620016432647247,2534.218438504039,13379.669689217848,343.0684535696885,1636.0897859577844,15919.69898063123,63.11186734682362,4.162517180242929,300.31518950351267,75.73424081618835,477.5909694189369,920.9147842657044,14998.784196365526,0.9421525001580658,27500.0,16467.285771345047,-28968.50157497952,-318204.75860182825
11,0.2121738202860107,2686.2715448142817,14620.678467422335,374.8891914723676,1896.4526924131071,18453.116848077007,66.35764162972389,5.040603151973261,330.3426231967088,79.62916995566866,553.5935054423102,1034.9635433763847,17418.153304700623,0.9439138898920354,27500.0,17994.681190673644,-28076.52788597302,-346281.2864878013
12,0.2,2847.447837503139,15891.010226843397,407.4618006882922,2171.1628046324818,21126.137810008928,69.5768619555025,6.017329119366178,361.2434606295176,83.49223434660298,633.7841343002679,1154.114020351257,19972.02378965767,0.9453703260515287,27500.0,19558.166433038026,-27086.142643380357,-373367.4291311817
13,0.18943403213777105,3018.294707753327,17197.073513538024,440.9506029112314,2460.1320112194394,23937.904513168887,72.83330111656888,7.0050045972493695,393.1441104951493,87.39996133988265,718.1371353950666,1278.5195129439167,22659.38500022497,0.9465901657247998,27500.0,21165.62893973911,-26006.243939514137,-399373.67307069583
14,0.18026356023636278,3199.392390218527,18545.182522106672,475.5175005668378,2763.4402710009163,26889.194983595917,76.18213243880173,8.037461127665894,426.17245586215176,91.41855892656207,806.6758495078775,1408.486457863059,25480.708525732858,0.9476188685186625,27500.0,22824.840027208214,-24844.131501475356,-424217.8045721712
15,0.17230427472735144,3391.3559336316393,19941.600757620534,511.3230963492445,3081.3225483800966,29982.29550325447,79.67125006086637,9.115372479521413,460.4584661200126,95.60550007303965,899.4688650976341,1544.319453831074,28437.976049423396,0.9484922876014131,27500.0,24543.508624763737,-23605.53257534034,-447823.33714751154
16,0.16539620865452156,3594.8372896495375,21392.58223699392,548.5277496665108,3414.1577196600006,33220.89266486503,83.34248890676227,10.23990551018351,496.13479913307845,100.01098668811473,996.6267799459508,1686.3549601840898,31534.53770468094,0.9492381202035668,27500.0,26329.331983992517,-22294.794279311576,-470118.1314268231
17,0.15940052263313764,3810.52752702851,22904.410605436344,587.292579626573,3762.4592589103736,36609.98274228424,87.23272944467539,11.41268595461625,533.3373972869343,104.67927533361046,1098.2994822685273,1834.9615702883639,34775.021171995875,0.9498781088424552,27500.0,28190.043822075502,-20915.022650079627,-491033.1540769027
18,0.15419671443442817,4039.1591786502204,24483.436512260367,627.7804233912915,4126.867534177939,40155.79673006274,91.37488324162119,12.635769934905394,572.2060809287661,109.64985988994543,1204.6739019018821,1990.5404958971203,38165.25623416562,0.9504295604124599,27500.0,30133.46032278199,-19468.204088616367,-510501.3581655191
19,0.1496801971130783,4281.508729369234,26136.113562632552,670.1567580162193,4508.143564801702,43865.739600042165,95.79876233719047,13.91162064863172,612.8851425486852,114.95851480462855,1315.9721880012648,2153.526228340401,41712.213371701764,0.9509064192698957,27500.0,32167.524384778528,-17955.311013076764,-528456.6691785959
20,0.14576019700256074,4538.399253131388,27869.033137484505,714.5905932688335,4907.164108534416,47748.34249740939,100.53183972479994,15.243089759078318,655.5239449203784,120.63820766975992,1432.4502749222816,2324.387356996298,45423.95514041309,0.9513200409601149,27500.0,34300.34847690401,-16376.393336490917,-544833.0625150868
21,0.14235792933188893,4810.703208319272,29688.958352434893,761.2553423701255,5324.917963307133,51813.22675563284,105.59991058746523,16.633403068252143,700.2775263148405,126.71989270495827,1554.396802668985,2503.627535344501,49309.599220288335,0.95167976032158,27500.0,36540.25643376602,-14730.657213477687,-559563.7197285645
22,0.1394050147970549,5099.345400818429,31602.857407932068,810.3296771264634,5762.503383002096,56071.0787510714,111.02766499776902,18.086150105869734,747.3072158186833,133.23319799732283,1682.132362532142,2691.786591451787,53379.29215961961,0.9519933154237673,27500.0,38895.824502070245,-13016.532342450635,-572580.2520710151
23,0.13684210526315788,5405.306124867535,33617.936566660916,861.998373504126,6221.126519696075,60533.63474548271,116.83918299723209,19.605277314436805,796.7812617271398,140.2070195966785,1816.0090423644813,2889.4417839999687,57644.192961482746,0.9522671685559806,27500.0,41375.92192819805,-11231.728966715302,-583811.9810377304
24,0.13461769097637286,5729.624492359587,35741.67298034544,916.4531533421907,6702.100816659539,65213.674979702875,123.05836263094147,21.195084552912636,848.8754759400996,147.67003515712977,1956.4102493910862,3097.2092076721697,62116.46577203071,0.9525067524773578,27500.0,43989.75136042516,-9373.28558839445,-593185.2666261249
